TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#2;85734000;84926000;1;0;19;13000000;98734000;86.833;2.652;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#3;82940000;82262000;1;0;20;9000000;91940000;90.211;2.598;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#4;84989000;84167000;1;0;23;11000000;95989000;88.54;2.638;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#5;88901000;88171000;0;0;22;12000000;100901000;88.107;2.713;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#6;93033000;92237000;0;0;18;11000000;104033000;89.426;2.793;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#7;76864000;76135000;0;0;20;17000000;93864000;81.889;2.481;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#0;301273000;296383000;0;0;35;28000000;329273000;91.496;6.805;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#1;291321000;286666000;1;0;35;35000000;326321000;89.274;6.613;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#2;301787000;296728000;3;0;32;32000000;333787000;90.413;6.815;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#3;290692000;285663000;2;0;32;24000000;314692000;92.373;6.601;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#4;285888000;281061000;1;0;35;32000000;317888000;89.934;6.508;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#5;278421000;273825000;0;0;34;48000000;326421000;85.295;6.365;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#6;301173000;296305000;1;0;32;29000000;330173000;91.217;6.803;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#7;276000000;271751000;2;0;35;40000000;316000000;87.342;6.318;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#0;2298304000;2179335000;5;0;12623;1607000000;3905304000;58.851;45.283;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#1;2209895000;2095147000;34;0;11779;1675000000;3884895000;56.884;43.58;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#2;2088112000;1973775000;1;0;10641;1771000000;3859112000;54.109;41.233;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#3;2218997000;2110035000;1;0;11222;1744000000;3962997000;55.993;43.755;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#4;2141254000;2037337000;1;0;11003;1820000000;3961254000;54.055;42.257;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#5;2034590000;1928333000;2;0;10725;1819000000;3853590000;52.797;40.202;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#6;1990125000;1885048000;0;0;10618;1863000000;3853125000;51.65;39.345;
1669157020111;1;1;tpc-di;5000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#7;1977002000;1883400000;1;1000000;10563;1969000000;3947002000;50.089;39.093;
